"","Country.","Sex","Field","Level.of.education","Year.","Value"
"1","Australia","Women","Education","2-year college",2005,58.1
"2","Australia","Men","Education","2-year college",2005,41.9
"3","Australia","Women","Education","Bachelor's",2005,74.8
"4","Australia","Men","Education","Bachelor's",2005,25.2
"5","Australia","Women","Education","Master's",2005,69.7
"6","Australia","Men","Education","Master's",2005,30.3
"7","Australia","Women","Education","Doctoral",2005,59.1
"8","Australia","Men","Education","Doctoral",2005,40.9
"9","Australia","Women","Education","Total tertiary",2005,73.3
"10","Australia","Men","Education","Total tertiary",2005,26.7
"11","Australia","Women","Humanities and arts","2-year college",2005,60.7
"12","Australia","Men","Humanities and arts","2-year college",2005,39.3
"13","Australia","Women","Humanities and arts","Bachelor's",2005,66.4
"14","Australia","Men","Humanities and arts","Bachelor's",2005,33.6
"15","Australia","Women","Humanities and arts","Master's",2005,61.3
"16","Australia","Men","Humanities and arts","Master's",2005,38.7
"17","Australia","Women","Humanities and arts","Doctoral",2005,54
"18","Australia","Men","Humanities and arts","Doctoral",2005,46
"19","Australia","Women","Humanities and arts","Total tertiary",2005,64.9
"20","Australia","Men","Humanities and arts","Total tertiary",2005,35.1
"21","Australia","Women","Social sciences, business and law","2-year college",2005,60.3
"22","Australia","Men","Social sciences, business and law","2-year college",2005,39.7
"23","Australia","Women","Social sciences, business and law","Bachelor's",2005,58.4
"24","Australia","Men","Social sciences, business and law","Bachelor's",2005,41.6
"25","Australia","Women","Social sciences, business and law","Master's",2005,45.5
"26","Australia","Men","Social sciences, business and law","Master's",2005,54.5
"27","Australia","Women","Social sciences, business and law","Doctoral",2005,50
"28","Australia","Men","Social sciences, business and law","Doctoral",2005,50
"29","Australia","Women","Social sciences, business and law","Total tertiary",2005,55.4
"30","Australia","Men","Social sciences, business and law","Total tertiary",2005,44.6
"31","Australia","Women","Science, mathematics and computing","2-year college",2005,24.9
"32","Australia","Men","Science, mathematics and computing","2-year college",2005,75.1
"33","Australia","Women","Science, mathematics and computing","Bachelor's",2005,39.4
"34","Australia","Men","Science, mathematics and computing","Bachelor's",2005,60.6
"35","Australia","Women","Science, mathematics and computing","Master's",2005,21.4
"36","Australia","Men","Science, mathematics and computing","Master's",2005,78.6
"37","Australia","Women","Science, mathematics and computing","Doctoral",2005,39.9
"38","Australia","Men","Science, mathematics and computing","Doctoral",2005,60.1
"39","Australia","Women","Science, mathematics and computing","Total tertiary",2005,34.6
"40","Australia","Men","Science, mathematics and computing","Total tertiary",2005,65.4
"41","Australia","Women","Engineering, manufacturing and construction","2-year college",2005,22.1
"42","Australia","Men","Engineering, manufacturing and construction","2-year college",2005,77.9
"43","Australia","Women","Engineering, manufacturing and construction","Bachelor's",2005,24.9
"44","Australia","Men","Engineering, manufacturing and construction","Bachelor's",2005,75.1
"45","Australia","Women","Engineering, manufacturing and construction","Master's",2005,23.1
"46","Australia","Men","Engineering, manufacturing and construction","Master's",2005,76.9
"47","Australia","Women","Engineering, manufacturing and construction","Doctoral",2005,24
"48","Australia","Men","Engineering, manufacturing and construction","Doctoral",2005,76
"49","Australia","Women","Engineering, manufacturing and construction","Total tertiary",2005,23.9
"50","Australia","Men","Engineering, manufacturing and construction","Total tertiary",2005,76.1
"51","Australia","Women","Agriculture and veterinary","2-year college",2005,37.9
"52","Australia","Men","Agriculture and veterinary","2-year college",2005,62.1
"53","Australia","Women","Agriculture and veterinary","Bachelor's",2005,54.2
"54","Australia","Men","Agriculture and veterinary","Bachelor's",2005,45.8
"55","Australia","Women","Agriculture and veterinary","Master's",2005,42.3
"56","Australia","Men","Agriculture and veterinary","Master's",2005,57.7
"57","Australia","Women","Agriculture and veterinary","Doctoral",2005,42.9
"58","Australia","Men","Agriculture and veterinary","Doctoral",2005,57.1
"59","Australia","Women","Agriculture and veterinary","Total tertiary",2005,46.8
"60","Australia","Men","Agriculture and veterinary","Total tertiary",2005,53.2
"61","Australia","Women","Health and Welfare","2-year college",2005,83.4
"62","Australia","Men","Health and Welfare","2-year college",2005,16.6
"63","Australia","Women","Health and Welfare","Bachelor's",2005,77.6
"64","Australia","Men","Health and Welfare","Bachelor's",2005,22.4
"65","Australia","Women","Health and Welfare","Master's",2005,73.6
"66","Australia","Men","Health and Welfare","Master's",2005,26.4
"67","Australia","Women","Health and Welfare","Doctoral",2005,61.9
"68","Australia","Men","Health and Welfare","Doctoral",2005,38.1
"69","Australia","Women","Health and Welfare","Total tertiary",2005,77.7
"70","Australia","Men","Health and Welfare","Total tertiary",2005,22.3
"71","Australia","Women","Services","2-year college",2005,38.9
"72","Australia","Men","Services","2-year college",2005,61.1
"73","Australia","Women","Services","Bachelor's",2005,55.4
"74","Australia","Men","Services","Bachelor's",2005,44.6
"75","Australia","Women","Services","Master's",2005,47.3
"76","Australia","Men","Services","Master's",2005,52.7
"77","Australia","Women","Services","Doctoral",2005,42.5
"78","Australia","Men","Services","Doctoral",2005,57.5
"79","Australia","Women","Services","Total tertiary",2005,50.7
"80","Australia","Men","Services","Total tertiary",2005,49.3
"81","Austria","Women","Education","2-year college",2005,NA
"82","Austria","Men","Education","2-year college",2005,NA
"83","Austria","Women","Education","Bachelor's",2005,73.7
"84","Austria","Men","Education","Bachelor's",2005,26.3
"85","Austria","Women","Education","Master's",2005,77.8
"86","Austria","Men","Education","Master's",2005,22.2
"87","Austria","Women","Education","Doctoral",2005,72.4
"88","Austria","Men","Education","Doctoral",2005,27.6
"89","Austria","Women","Education","Total tertiary",2005,NA
"90","Austria","Men","Education","Total tertiary",2005,NA
"91","Austria","Women","Humanities and arts","2-year college",2005,NA
